nttId,idx,req,org,org_joint,elect,area,contest,date,n,cont_rate,resp_rate,method1,method_rate1,frame1,method2,method_rate2,frame2,method3,method_rate3,frame3,method4,method_rate4,frame4,method5,method_rate5,frame5,qnaire_file,analysis_file
17294,15260,중부매일,(주)리서치앤리서치,,제9회 전국동시지방선거,충청북도 전체,"광역단체장선거,기초단체장선거,교육감선거 (충청북도 전체 광역단체장선거 기초단체장선거 교육감선거 정당지지도, 정책지지도 )",2026-02-07 10 시 10 분 ~ 21 시 40 분 2026-02-08 09 시 30 분 ~ 10 시 30 분,1012,30.6%,11.7%,무선전화면접,98 %,무선전화번호 휴대전화 가상번호,유선전화면접,2 %,유선전화번호 RDD,전체+질문지_3.pdf,결과+분석+자료+v1(청주)_3.pdf
17292,15259,경기신문,(주)데일리리서치,,제9회 전국동시지방선거,경기도 고양시,"기초단체장선거,정당지지도, (경기도 고양시 기초단체장선거 정당지지도 )",2026-02-07 10 시 00 분 ~ 21 시 10 분 2026-02-08 12 시 30 분 ~ 17 시 00 분,501,61.1%,5.6%,무선 ARS,100 %,무선전화번호 가상번호,등록_경기고양시_질문지_데일리리서치2602091_3.pdf,등록_경기고양시_결과분석_데일리리서치2602091_3.pdf
17290,15258,(주)에브리뉴스/미디어로컬(사단법인 한국지역언론인클럽),(주)에브리리서치,,기타,전국 전체,"정기(정례)조사,정당지지도, (전국 정기(정례)조사 정당지지도 )",2026-02-06 17 시 00 분 ~ 20 시 14 분 2026-02-07 12 시 46 분 ~ 17 시 54 분,1000,36.8%,2.2%,무선 ARS,100 %,무선전화번호 RDD,전국+설문지(에브리리서치_0210)_3.pdf,전국+보고서(에브리리서치_0210)_3.pdf
17286,15257,경인일보,(주)데일리리서치,,제9회 전국동시지방선거,인천광역시 강화군,"기초단체장선거,정당지지도, (인천광역시 강화군 기초단체장선거 정당지지도 지역현안 )",2026-02-07 10 시 00 분 ~ 19 시 30 분,501,46.0%,7.9%,무선 ARS,99 %,무선전화번호 가상번호,유선 ARS,1 %,유선전화번호 RDD,등록_인천강화군_질문지_데일리리서치2602091_3.pdf,등록_인천강화군_결과분석_데일리리서치2602091_3.pdf
17287,15256,KPO리서치,KPO리서치,,제9회 전국동시지방선거 경북 의성군수 선거 여론조사,경상북도 의성군,"기초단체장선거,정당지지도, (경상북도 의성군 기초단체장선거정당지지도 경북 의성군수 선거 여론조사 )",2026-02-05 14 시 00 분 ~ 16 시 00 분 2026-02-06 13 시 00 분 ~ 14 시 00 분,514,94.4%,2.3%,무선 ARS,70 %,무선전화번호 가상번호,유선 ARS,30 %,유선전화번호 RDD,의성군수+조사질문지_3.pdf,260210_의성군수+선거+결과_3.pdf
17288,15255,남도인사이드,(주)이너텍시스템즈,,제9회 전국동시지방선거,전라남도 광양시,"기초단체장선거,정당지지도, (전라남도 광양시 기초단체장선거 정당지지도 )",2026-02-07 10 시 00 분 ~ 21 시 00 분 2026-02-08 10 시 00 분 ~ 12 시 40 분,504,34.2%,6%,무선 ARS,80 %,무선전화번호 가상번호,유선 ARS,20 %,유선전화번호 RDD,이너텍시스템즈-20260209-광양시-설문지_3.pdf,이너텍시스템즈-20260209-광양시-결과보고서_3.pdf
17273,15254,더파워미디어,(주)데일리리서치,,제9회 전국동시지방선거,경상북도 예천군,"기초단체장선거,정당지지도, (경상북도 예천군 기초단체장선거 정당지지도 )",2026-02-07 09 시 30 분 ~ 17 시 00 분,800,34.0%,13.6%,무선 ARS,100 %,무선전화번호 가상번호,등록_경북예천군_질문지_데일리리서치2602081_2.pdf,등록_경북예천군_결과분석_데일리리서치2602081_2.pdf
17267,15253,뉴스1 전북,조원씨앤아이,,제9회 전국동시지방선거 전북특별자치도 지방선거 여론조사,전북특별자치도 전체,"광역단체장선거,교육감선거,정당지지도 (전북특별자치도 전체 광역단체장선거 교육감선거 정당지지도 )",2026-02-06 11 시 00 분 ~ 18 시 58 분 2026-02-07 11 시 30 분 ~ 14 시 16 분,1000,28.0%,12.5%,무선 ARS,100 %,무선전화번호 가상번호,뉴스1_전북+지방선거+여론조사(광역)_설문지_260205_2.pdf,뉴스1_전북+지방선거+여론조사_결과보고서_2.pdf
17272,15252,뉴스스콜,메타보이스(주),,제9회 전국동시지방선거,전라남도 여수시,기초단체장선거 (전라남도 여수시 기초단체장선거 ),2026-02-06 13 시 00 분 ~ 21 시 35 분 2026-02-07 11 시 00 분 ~ 18 시 15 분,501,65.0%,5.4%,무선 ARS,100 %,무선전화번호 가상번호,설문지_뉴스스콜_여수시장_20260204_v7_2.pdf,등록자료_정치현안여론조사_여수_20260207_v3_2.pdf
17285,15251,하나로신문,(주)비전코리아,,제9회 전국동시지방선거,경기도 이천시,"기초단체장선거,정당지지도, (경기도 이천시 기초단체장선거 정당지지도 )",2026-02-06 12 시 28 분 ~ 21 시 28 분 2026-02-07 10 시 09 분 ~ 15 시 49 분,501,41.2%,4.1%,무선 ARS,80.0 %,무선전화번호 가상번호,유선 ARS,20.0 %,유선전화번호 RDD,질문지_비전코리아_이천시장2601M3_2.pdf,비전코리아보고서_이천시장2602M_2.pdf
17284,15250,중부매일,(주)리서치앤리서치,,제9회 전국동시지방선거,충청북도 전체,"광역단체장선거,기초단체장선거,교육감선거 (충청북도 전체 광역단체장선거 기초단체장선거 교육감선거 정당지지도, 정책지지도 )",2026-02-07 10 시 10 분 ~ 21 시 40 분 2026-02-08 09 시 30 분 ~ 10 시 30 분,1012,30.6%,11.7%,무선전화면접,98 %,무선전화번호 휴대전화 가상번호,유선전화면접,2 %,유선전화번호 RDD,전체+질문지_2.pdf,결과+분석+자료+v4(충북광역)_2.pdf
17282,15247,인천일보,(주)리얼미터,,제9회 전국동시지방선거,경기도 성남시,"정당지지도,기초단체장선거,교육감선거 (경기도 성남시 정당지지도 기초단체장선거 교육감선거 광역단체장선거 )",2026-02-06 12 시 00 분 ~ 21 시 50 분 2026-02-07 10 시 20 분 ~ 19 시 10 분,504,59.3%,6%,무선 ARS,100 %,무선전화번호 가상번호,(리얼-인천일보)설문지_경기+성남시+지방선거+여론조사_최종_2.pdf,(리얼-인천일보)결과표_경기+성남시+지방선거+여론조사_최종_260211_2.pdf
